x,y,z
1.000000,0.000000,0.000000
0.136007,1.048775,0.020517
-1.081431,0.285281,0.041033
-0.446278,-1.095378,0.061550
1.088108,-0.617024,0.082066
0.795110,1.057261,0.102583
-1.000688,0.977686,0.123099
-1.161473,-0.916525,0.143616
0.803260,-1.342778,0.164132
1.517521,0.659812,0.184649
-0.485601,1.681277,0.205165
-1.829326,-0.280621,0.225682
0.045508,-1.956718,0.246198
2.058346,-0.218400,0.266715
0.509001,2.129038,0.287231
-2.163655,0.823392,0.307748
-1.157825,-2.157200,0.328264
2.104945,-1.507692,0.348781
1.867516,2.002557,0.369297
-1.846237,2.230966,0.389814
-2.590883,-1.632861,0.410330
1.360126,-2.939333,0.430847
3.267686,1.026696,0.451364
-0.632345,3.566705,0.471880
-3.826674,-0.178092,0.492397
-0.333676,-4.037542,0.512913
4.189091,-0.899085,0.533430
1.512683,4.271132,0.553946
-4.273722,2.167367,0.574463
-2.854336,-4.187396,0.594979
4.003427,-3.563071,0.615496
4.281354,3.714092,0.636012
-3.312953,4.995319,0.656529
-5.689550,-2.795145,0.677045
2.157660,-6.347217,0.697562
6.950259,1.399634,0.718078
-0.522619,7.479618,0.738595
-7.915516,0.469170,0.759111
-1.568619,-8.237785,0.779628
8.426240,-2.765524,0.800144
4.046439,8.461100,0.820661
-8.323447,5.394572,0.841177
-6.789738,-7.995724,0.861694
7.462265,-8.208381,0.882211
9.623665,6.709840,0.902727
-5.728228,11.005644,0.923244
-12.321523,-4.510779,0.943760
3.054981,-13.536002,0.964277
14.611720,1.362998,0.984793
0.557816,15.509784,1.005310
-16.190407,2.694461,1.025826
-5.027890,-16.613629,1.046343
16.740131,-7.532694,1.066859
10.176874,16.532133,1.087376
-15.954363,12.921736,1.107892
-15.721897,-14.975093,1.128409
13.567217,-18.525448,1.148925
21.274262,11.709369,1.169442
-9.387048,23.904470,1.189958
-26.347114,-6.593729,1.210475
3.331949,-28.528987,1.230991
30.373657,-0.385674,1.251508
4.535512,31.802679,1.272024
-32.736994,9.082115,1.292541
-13.977552,-33.098512,1.313058
32.811849,-19.160933,1.333574
24.558145,31.806229,1.354091
-30.017501,30.081835,1.374607
-35.631664,-27.390269,1.395124
23.880078,-41.094864,1.415640
46.347122,19.455644,1.436157
-14.101066,51.253806,1.456673
-55.671553,-7.817975,1.477190
0.627582,-59.450233,1.497706
62.435274,-7.427449,1.518223
16.281350,64.470372,1.538739
-65.400540,25.843888,1.559256
-35.999348,-65.075506,1.579772
63.353405,-46.605934,1.600289
57.495638,60.104741,1.620805
-55.216548,68.474648,1.641322
-79.324331,-48.596713,1.661838
40.178363,-89.802865,1.682355
99.647535,29.924255,1.702871
-17.831060,108.577750,1.723388
-116.298779,-3.933448,1.743904
-11.692133,-122.506231,1.764421
126.891264,-28.924108,1.784938
47.592968,129.146510,1.805454
-128.972662,67.479131,1.825971
-88.311597,-126.085679,1.846487
120.224525,-109.767517,1.867004
131.472794,111.159340,1.887520
-98.699934,153.003818,1.908037
-173.890453,-82.704452,1.928553
63.088064,-193.620338,1.949070
211.644585,39.831486,1.969586
-12.989146,227.384910,1.990103
-240.242227,17.303222,2.010619
-50.821785,-249.606689,2.031136
