x,y,z
1.000000,0.000000,0.000000
-0.018313,1.049138,0.024000
-1.100355,-0.038425,0.047999
0.060464,-1.153721,0.071999
1.209305,0.084563,0.095999
-0.110864,1.267179,0.119998
-1.327416,-0.139517,0.143998
0.170681,-1.390087,0.167997
1.455268,0.204525,0.191997
-0.241224,1.523031,0.215997
-1.593452,-0.280969,0.239996
0.323955,-1.666606,0.263996
1.742567,0.370394,0.287996
-0.420506,1.821411,0.311995
-1.903210,-0.474524,0.335995
0.532694,-1.988041,0.359994
2.075974,0.595276,0.383994
-0.662543,2.167082,0.407994
-2.261435,-0.734785,0.431993
0.812304,-2.359101,0.455993
2.460147,0.895420,0.479993
-0.984472,2.564636,0.503992
-2.672629,-1.079812,0.527992
1.181815,-2.784182,0.551992
2.899349,1.290873,0.575991
-1.407399,3.018178,0.599991
-3.140712,-1.531827,0.623990
1.664613,-3.266988,0.647990
3.397037,1.806237,0.671990
-1.957201,3.530884,0.695989
-3.668542,-2.118034,0.719989
2.289291,-3.810020,0.743989
3.955314,2.471554,0.767988
-2.665434,4.104409,0.791988
-4.257280,-2.871571,0.815987
3.090637,-4.413888,0.839987
4.574179,3.323336,0.863987
-3.570403,4.738085,0.887986
-4.905521,-3.832613,0.911986
4.110774,-5.076383,0.935986
5.250547,4.405732,0.959985
-4.718373,5.427867,0.983985
-5.608175,-5.049623,1.007985
5.400453,-5.791277,1.031984
5.976951,5.771875,1.055984
-6.164948,6.164948,1.079983
-6.354983,-6.580778,1.103983
7.020521,-6.546742,1.127983
6.739871,7.485385,1.151982
-7.976627,6.933976,1.175982
-7.128624,-8.495563,1.199982
9.043563,-7.323333,1.223981
7.517574,9.622056,1.247981
-10.232532,7.710766,1.271981
-7.902271,-10.876544,1.295980
11.555708,-8.091394,1.319980
8.277371,12.271708,1.343979
-13.026296,8.459376,1.367979
-8.636505,-13.821297,1.391979
14.658606,-8.807779,1.415978
8.972136,15.540195,1.439978
-16.468114,9.128425,1.463978
-9.275400,-17.444491,1.487977
18.471536,-9.411718,1.511977
9.535926,19.551545,1.535976
-20.686898,9.646459,1.559976
-9.741632,-21.880064,1.583976
23.133603,-9.819632,1.607975
9.878508,24.450166,1.631975
-25.832501,9.916168,1.655975
-9.930364,-27.283451,1.679974
28.805957,-9.918686,1.703974
9.878554,30.403063,1.727974
-32.077912,9.807202,1.751973
-9.701673,-33.833753,1.775973
35.673940,-9.558803,1.799972
9.375215,37.601934,1.823972
-39.621304,9.147299,1.847972
-8.871203,-41.735727,1.871971
43.948994,-8.542819,1.895971
8.157768,46.265002,1.919971
-48.687762,7.711384,1.943970
-7.198698,-51.221398,1.967970
53.870142,-6.614422,1.991969
5.952930,56.638341,2.015969
-59.530450,5.208240,2.039969
-4.373994,-62.551034,2.063968
65.704767,-3.443441,2.087968
2.409408,68.996426,2.111968
-72.430894,1.264286,2.135967
-0.000000,-76.013156,2.159967
79.748289,1.392012,2.183967
-2.920824,83.641469,2.207966
-87.697954,-4.596055,2.231966
6.427889,-91.923089,2.255965
96.322292,8.427109,2.279965
-10.605128,100.901052,2.303965
-105.664918,-12.974021,2.327964
15.546555,-110.619489,2.351964
115.770408,18.336231,2.375964
